green,red,IR,acc_x,acc_y,acc_z,sample_index
99790,212851,273124,0.021535403399999997,3.8476587407999996,9.1501536224,1
98338,212682,273093,-0.041874395499999995,3.7519458368,9.2111705987,2
97273,212427,272912,0.11964113,3.780659708,9.2099741874,3
96822,212405,272787,0.1304088317,3.7639099498,9.108279226899999,4
96841,212307,272737,0.2237289131,3.9326039431,9.1561356789,5
97313,212232,272738,-0.0191425808,3.8548372086000002,9.207581364800001,6
97957,212197,272650,-0.13758729949999998,3.8440695069,9.1441715659,7
98670,212146,272621,0.1962114532,3.8189448695999997,9.164510558,8
99314,212099,272587,0.1100698396,3.9014972492999997,9.1968136631,9
99808,212064,272581,-0.047856452,3.8500515634,9.1334038642,10
100403,212034,272543,-0.13758729949999998,3.960121403,9.1238325738,11
100953,211995,272525,-0.1328016543,3.9182470075,9.1573320902,12
101534,211957,272444,-0.035892339,3.8835510798,9.0987079365,13
102136,211987,272460,0.0502492746,3.7854453531999996,9.299705034899999,14
102766,211967,272483,-0.044267218100000005,3.8177484582999996,9.1980100744,15
103411,211911,272465,0.011964113,3.9529429352,9.1812603162,16
103904,211946,272513,0.040677984199999996,3.8691941442,9.1465643885,17
103292,211879,272459,0.0095712904,3.8261233374,9.080761767,18
101618,211706,272291,0.1519442351,4.0354953148999995,9.1812603162,19
100010,211497,272257,-0.0526420972,3.8237305148,9.2135634213,20
98895,211372,272132,0.04307080679999999,3.9182470075,9.0795653557,21
98415,211256,272009,-0.09092725880000001,3.8213376922,9.1022971704,22
98465,211244,271922,-0.0658026215,3.7734812402,9.2183490665,23
98914,211125,271908,0.0071784678,3.8249269261,9.2398844699,24
99573,210981,271888,0.0179461695,3.768695595,9.1334038642,25
100231,211038,271835,-0.0191425808,3.7005001509,9.1238325738,26
100849,211108,271876,-0.0191425808,3.9661034595,9.1872423727,27
101384,211041,271843,-0.24287149389999999,3.8189448695999997,9.232706002099999,28
101924,211011,271841,0.0777667345,3.8057843452999998,9.0580299523,29
102424,211026,271827,0.0191425808,3.9481572899999997,9.008977089,30
102993,210969,271803,-0.0011964113,4.0283168471,9.2015993083,31
103495,211022,271809,-0.0083748791,3.9828532177,9.2039921309,32
103839,210920,271831,0.0669990328,3.7794632967,9.1692962032,33
103068,210968,271781,0.0825523797,3.7974094662,9.248259349,34
101524,210725,271735,-0.051445685899999996,3.8452659182,9.1322074529,35
100240,210628,271587,-0.0083748791,3.8787654346,9.178867493599999,36
99481,210476,271457,0.0466600407,3.8596228538,9.1501536224,37
99271,210407,271432,0.09930213789999999,3.9541393465,9.2051885422,38
99532,210339,271400,0.0083748791,3.8943187815,9.1549392676,39
100098,210306,271354,-0.17228322719999997,3.7782668854000003,9.2171526552,40
100788,210328,271341,-0.08614161359999999,3.7974094662,9.1118684608,41
101435,210249,271288,-0.0586241537,3.8668013215999997,9.2781696315,42
101993,210373,271300,0.1280160091,3.8093735792,9.232706002099999,43
102473,210257,271299,-0.23569302609999998,3.7878381758,9.0711904766,44
102963,210301,271301,0.0083748791,3.8668013215999997,9.1381895094,45
103557,210324,271330,-0.12083754129999999,3.876372612,9.21236701,46
104110,210234,271325,-0.20338992099999997,3.7866417645,9.1609213241,47
104660,210295,271276,-0.0382851616,3.8416766843000003,9.109475638200001,48
105293,210338,271360,0.0729810893,3.876372612,9.095118702599999,49
105895,210319,271320,-0.0370887503,3.8045879339999997,9.104689993,50
106479,210362,271407,-0.04307080679999999,3.6981073283,9.176474671,51
106268,210382,271349,-0.0873380249,3.8069807566000002,9.0855474122,52
104914,210269,271341,-0.047856452,3.8548372086000002,9.0867438235,53
103031,210128,271182,0.0143569356,3.8428730956,9.1740818484,54
101690,209956,271131,0.0,3.9110685397,9.1477607998,55
100905,209872,271020,-0.08135596839999999,3.82851616,9.2147598326,56
100665,209750,270967,-0.0646062102,3.8991044267,9.152546445,57
100987,209708,270919,-0.1519442351,3.9326039431,9.104689993,58
101458,209560,270840,-0.18783657410000001,3.7160534978000004,9.2614198733,59
102059,209700,270853,-0.0287138712,3.9684962821,9.1238325738,60
102621,209661,270895,-0.021535403399999997,3.7890345870999997,9.1190469286,61
103069,209628,270798,-0.0394815729,3.7519458368,9.140582332,62
103587,209605,270815,-0.1639083481,3.8261233374,9.095118702599999,63
104074,209601,270855,-0.0933200814,3.9230326527000003,9.1800639049,64
104590,209617,270820,-0.040677984199999996,3.9110685397,9.038887371500001,65
105135,209582,270845,-0.143569356,3.816552047,9.1501536224,66
105650,209578,270849,-0.2452643165,3.8715869668,9.153742856300001,67
106292,209573,270808,0.015553346899999999,3.8045879339999997,9.1800639049,68
106897,209619,270882,-0.09092725880000001,3.8141592244,9.1238325738,69
107047,209721,270952,0.0131605243,3.8823546685,9.1070828156,70
106074,209651,270988,-0.0011964113,3.9684962821,9.0496550732,71
104511,209548,270860,-0.16749758199999998,3.8117664018,9.1357966868,72
103204,209312,270716,-0.022731814700000002,3.8596228538,9.1357966868,73
102457,209198,270699,-0.0071784678,3.7196427317,9.162117735399999,74
102258,209153,270615,-0.0167497582,3.8668013215999997,9.2685983411,75
102465,209047,270575,-0.21894326790000002,3.8213376922,9.0999043478,76
102967,209040,270526,-0.1483550012,3.8943187815,9.1597249128,77
103560,208967,270539,-0.1387837108,3.7830525306,9.1441715659,78
104113,208976,270525,-0.1471585899,3.8309089826,9.1561356789,79
104603,209004,270542,-0.015553346899999999,3.7830525306,9.162117735399999,80
105025,209029,270524,-0.0646062102,3.8129628130999995,9.1453679772,81
105493,209042,270491,-0.15672988029999999,3.8811582571999996,9.1262253964,82
105946,208997,270539,0.020338992099999998,3.8835510798,9.081958178299999,83
106447,208980,270528,-0.1351944769,3.7758740628,9.2315095908,84
107015,209028,270507,-0.08135596839999999,3.8153556357,9.1369930981,85
107582,209083,270547,-0.2691925425,3.8129628130999995,9.1501536224,86
108135,209015,270495,-0.095712904,3.8416766843000003,9.0831545896,87
108706,209144,270614,0.0263210486,3.9326039431,9.1477607998,88
109283,209179,270582,-0.022731814700000002,3.7519458368,9.109475638200001,89
109711,209287,270768,-0.15672988029999999,3.7830525306,9.2135634213,90
109268,209411,270805,-0.08135596839999999,3.8476587407999996,9.1704926145,91
107829,209364,270749,-0.0251246373,3.9326039431,9.1740818484,92
106239,209193,270753,-0.0897308475,3.9170505962,9.1692962032,93
105183,209104,270653,0.0263210486,3.7878381758,9.2255275343,94
104650,208868,270496,-0.0502492746,3.864408499,9.2279203569,95
104625,208928,270482,0.0275174599,3.8045879339999997,9.1334038642,96
104909,208858,270426,-0.1651047594,3.9062828945,9.1848495501,97
105353,208815,270473,-0.0921236701,3.9696926934,9.0939222913,98
105874,208792,270459,-0.0526420972,3.7830525306,9.1776710823,99
106314,208874,270425,-0.1304088317,3.9996029759000002,9.1800639049,100
106673,208831,270485,-0.0143569356,3.8955151927999996,9.1992064857,101
107020,208914,270510,-0.21415762270000002,3.7890345870999997,9.1357966868,102
107420,208855,270508,0.020338992099999998,3.8584264425,9.2398844699,103
107849,208888,270559,-0.0789631458,3.8500515634,9.121439751199999,104
108349,208935,270561,-0.04307080679999999,3.8691941442,9.1968136631,105
108813,208882,270542,-0.0191425808,3.7950166436,9.0903330574,106
109343,208995,270566,-0.1160518961,3.8356946278,9.1130648721,107
109823,208959,270632,-0.0610169763,3.8835510798,9.1322074529,108
110393,209042,270566,-0.2967100024,3.8859439023999998,9.1070828156,109
110902,209109,270674,-0.0921236701,3.9445680561,9.1142612834,110
111197,209266,270827,-0.0526420972,3.8608192651000004,9.1680997919,111
110458,209322,270913,-0.045463629400000004,3.8859439023999998,9.1274218077,112
108927,209254,270850,-0.0191425808,3.8356946278,9.0831545896,113
107426,209103,270788,-0.0394815729,3.9445680561,9.1812603162,114
106412,208953,270664,-0.0059820565,3.8907295476,9.054440718399999,115
105943,208861,270655,-0.18783657410000001,3.8356946278,9.1669033806,116
105891,208760,270548,-0.0095712904,3.8500515634,9.1250289851,117
106212,208631,270513,-0.056231331100000004,3.9613178143,9.1549392676,118
106629,208805,270508,0.0538385085,3.9326039431,9.1477607998,119
107093,208743,270555,-0.08614161359999999,3.8333018051999996,9.0831545896,120
107385,208710,270513,-0.035892339,3.8907295476,9.104689993,121
107689,208823,270560,-0.1328016543,3.8620156764,9.0077806777,122
108003,208797,270521,-0.0646062102,3.7519458368,9.200402897,123
108360,208798,270544,-0.24287149389999999,3.9756747499,9.140582332,124
108771,208829,270602,-0.1399801221,3.9182470075,9.121439751199999,125
109218,208840,270584,-0.10169496049999999,3.8584264425,9.1334038642,126
109681,208826,270575,-0.0873380249,3.8500515634,9.1322074529,127
110165,208888,270567,-0.0646062102,3.8309089826,9.0723868879,128
110680,208920,270630,-0.2081755662,3.816552047,9.128618219,129
111128,208947,270678,0.0382851616,3.9924245080999996,9.140582332,130
111671,208962,270703,-0.1519442351,3.8835510798,9.200402897,131
112153,209130,270743,-0.2943171798,3.8117664018,9.1896351953,132
112104,209257,270900,-0.0370887503,3.8356946278,9.1298146303,133
110944,209217,270945,0.0095712904,3.888336725,9.1334038642,134
109291,209202,270891,-0.0059820565,3.8572300312,9.164510558,135
107882,209013,270800,-0.0574277424,3.7902309983999998,9.1968136631,136
106932,208817,270651,-0.1710868159,3.7220355542999997,9.1812603162,137
106649,208702,270615,-0.24765713909999998,3.8141592244,9.0759761218,138
106700,208677,270517,-0.0801595571,3.9146577735999997,9.206384953499999,139
106982,208542,270465,-0.022731814700000002,3.8835510798,9.1501536224,140
107385,208644,270430,-0.0729810893,3.9541393465,9.1238325738,141
107744,208647,270423,-0.011964113,3.8775690233,9.1190469286,142
107986,208662,270447,-0.056231331100000004,3.8751762007000004,9.1585285015,143
108291,208681,270451,-0.2117648001,3.7770704741,9.1920280179,144
108547,208665,270454,-0.0095712904,3.8404802730000003,9.1872423727,145
108945,208709,270452,-0.0705882667,3.8141592244,9.247062937699999,146
109314,208684,270475,0.0610169763,3.9158541848999997,9.1848495501,147
109740,208685,270464,-0.143569356,3.8464623295,9.1633141467,148
110185,208732,270438,-0.227318147,3.816552047,9.1381895094,149
110676,208724,270446,-0.1710868159,3.8093735792,9.2374916473,150
111122,208812,270492,-0.0669990328,3.7627135385,9.164510558,151
111650,208792,270489,-0.155533469,3.9218362414,9.165706969299999,152
112081,208842,270537,-0.1591227029,3.8129628130999995,9.1968136631,153
112571,208981,270565,-0.2009970984,3.8787654346,9.0831545896,154
112425,209148,270789,-0.0765703232,3.9996029759000002,9.1022971704,155
111172,209103,270796,-0.095712904,3.9038900719000003,9.1920280179,156
109522,209019,270709,-0.0011964113,3.9050864832,9.2147598326,157
108195,208858,270653,0.022731814700000002,3.8799618459,9.140582332,158
107357,208715,270535,-0.17706887240000002,3.9038900719000003,9.1669033806,159
107008,208595,270507,-0.047856452,3.8668013215999997,9.1429751546,160
106975,208506,270368,-0.2548356069,3.8620156764,9.1118684608,161
107354,208456,270372,-0.071784678,3.8955151927999996,9.188438784,162
107718,208515,270322,-0.0765703232,3.7998022888,9.1573320902,163
108056,208500,270400,-0.131605243,3.8548372086000002,9.2051885422,164
108307,208503,270310,-0.12083754129999999,3.7998022888,9.1704926145,165
108576,208519,270357,-0.215354034,3.9517465239000003,9.1429751546,166
108867,208521,270326,-0.0681954441,3.8859439023999998,9.2446701151,167
109166,208545,270330,-0.12681959780000002,3.9003008379999997,9.095118702599999,168
109539,208530,270319,-0.1854437515,3.8237305148,9.200402897,169
109939,208586,270393,0.015553346899999999,3.8715869668,9.1609213241,170
110401,208506,270401,-0.0753739119,3.9170505962,9.1453679772,171
110843,208626,270373,-0.1363908882,3.780659708,9.1022971704,172
111327,208661,270426,-0.047856452,3.9014972492999997,9.0664048314,173
111786,208715,270400,-0.1256231865,3.8129628130999995,9.162117735399999,174
112298,208786,270486,-0.3098705267,3.6897324492,9.1776710823,175
112545,208887,270655,0.0263210486,3.7615171272,9.1776710823,176
111884,209045,270747,-0.09092725880000001,3.936193177,9.0436730167,177
110329,208906,270614,-0.1292124204,3.8620156764,9.1908316066,178
108748,208782,270556,0.022731814700000002,3.8093735792,9.1669033806,179
107608,208565,270432,-0.09092725880000001,3.8356946278,9.1453679772,180
106930,208476,270376,-0.1926222193,3.7363924898999996,9.1130648721,181
106803,208367,270256,-0.0490528633,3.7938202323,9.1716890258,182
106989,208337,270217,-0.08374879099999999,3.8021951114,9.299705034899999,183
107326,208210,270205,-0.1112662509,3.9026936606000002,9.1298146303,184
107681,208333,270194,-0.13758729949999998,3.8081771679,9.008977089,185
107981,208364,270186,-0.11246266220000001,3.8440695069,9.1728854371,186
108229,208362,270233,-0.2596212521,3.8093735792,9.1776710823,187
108473,208365,270242,-0.1052841944,3.7866417645,9.121439751199999,188
108767,208370,270260,-0.1591227029,3.7351960786,9.2231347117,189
109123,208428,270205,-0.1459621786,3.8943187815,9.1944208405,190
109535,208346,270197,-0.2105683888,3.8620156764,9.1262253964,191
109966,208425,270279,-0.107677017,3.9146577735999997,9.128618219,192
110429,208458,270278,-0.08374879099999999,3.9385859996,9.1022971704,193
110870,208452,270264,-0.011964113,3.8273197486999995,9.1357966868,194
111359,208621,270346,-0.071784678,3.9254254753,9.0783689444,195
111822,208560,270342,-0.12442677519999999,3.8679977328999997,9.116654106,196
112287,208724,270468,-0.1962114532,3.8656049103,9.1513500337,197
112282,208928,270598,0.059820565,3.7758740628,8.9886380969,198
111179,208838,270626,0.0681954441,3.7100714413,9.1058864043,199
109573,208739,270518,-0.23688943739999999,3.8691941442,9.2111705987,200
108131,208511,270383,0.0047856452,3.7459637803,9.1980100744,201
107186,208363,270307,-0.095712904,3.8009987001,9.1142612834,202
106789,208274,270227,-0.21296121140000002,3.8991044267,9.0532443071,203
106757,208213,270147,-0.20578274359999998,3.936193177,9.2446701151,204
107037,208209,270074,-0.143569356,3.8596228538,9.1776710823,205
107416,208194,270125,-0.1974078645,3.7674991837,9.131011041599999,206
107770,208227,270139,-0.2081755662,3.7830525306,9.1106720495,207
108008,208149,270152,-0.18185451760000002,3.8715869668,9.152546445,208
108252,208257,270137,-0.24287149389999999,3.8787654346,9.0616191862,209
108454,208304,270173,-0.0981057266,3.9062828945,9.1585285015,210
108852,208221,270140,-0.0083748791,3.9026936606000002,9.0975115252,211
109225,208274,270251,-0.0299102825,3.8117664018,9.1477607998,212
109630,208408,270218,-0.1411765334,3.7866417645,9.152546445,213
110066,208410,270212,-0.2859423007,3.9110685397,9.1118684608,214
110521,208441,270237,-0.16630117069999997,3.8117664018,9.0664048314,215
